study_ID,author_first,year,extracted,ecotype,family,species,species_iucn,species_phylo,origin,method,empty_bladder,mean_mass_g,dors_SA_cm2,vent_SA_cm2,D,lat,lon,skin_temp,t_skin_est,trt_temp,airflow_ml_s,airflow_cm_s,RH_perc,es_kPa,ea_kPa,VPD_kPa,duration_min,hydration,strategy,strategy2,days_cocoon,trait,response,trait_unit,mean,sd,se,sample_size,unit_corrected_mean,unit_corrected_sd,unit,r_s_mean,r_s_sd,r_s_se,pv_skin_g_ml_min,pv_air_g_ml_min,r_t,rw,Cp,p,r_b,r_s_est,Gr,v,calculated,notes,title,ref,,
20,Wygoda,2013,Fig 1,Arboreal,Hylidae,Hyla cinerea,Dryophytes cinereus,Hyla_cinerea,wild,water vapour,yes,4.66,20.04025638,,0.155021149,30.22357174,-93.24946891,27,27.34999952,30,,100,58,4.396610118,2.550033869,1.84657625,,,,,,water loss,evaporative water loss,mg cm h,11.409314,2.9505315,1.1151961,7,11.409314,2.9505315,mg cm h,2.369942,1.0093618,0.3815029,,,,,,,,2.369942,,,no,VPD 19 g m-3,,,,
20,Wygoda,2013,Fig 1,Arboreal,Hylidae,Hyla cinerea,Dryophytes cinereus,Hyla_cinerea,wild,water vapour,yes,4.66,20.04025638,,0.155021149,30.22357174,-93.24946891,28,27.34999952,30,,100,74,4.396610118,3.253491487,1.143118631,,,,,,water loss,evaporative water loss,mg cm h,7.205882,1.8157117,0.6862745,7,7.205882,1.8157117,mg cm h,2.485549,0.7340813,0.2774566,,,,,,,,2.485549,,,no,VPD 22 g m-3,,,,
20,Wygoda,2013,Fig 1,Arboreal,Hylidae,Hyla cinerea,Dryophytes cinereus,Hyla_cinerea,wild,water vapour,yes,4.66,20.04025638,,0.155021149,30.22357174,-93.24946891,28,27.34999952,30,,100,86,4.396610118,3.781084702,0.615525417,,,,,,water loss,evaporative water loss,mg cm h,5.661765,1.3617838,0.5147059,7,5.661765,1.3617838,mg cm h,1.179191,1.1317087,0.4277457,,,,,,,,1.179191,,,no,VPD 26 g m-3,,,,
21,Liu,2012,Table 1,Arboreal,Rhacophoridae,Rhacophorus taipeianus,Zhangixalus taipeianus,Rhacophorus_taipeianus,wild,mass change,yes,3.8,16.16484998,,0.156718485,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,4.7,0.489897949,0.2,6,4.7,0.489897949,mg cm h,1.5,0.489897949,0.2,,,,,,,,1.5,,,no,,Cutaneous Resistance to Evaporative Water Loss in Taiwanese Arboreal Rhacophorid Frogs,http://zoolstud.sinica.edu.tw/Journals/51.7/988.pdf,,
21,Liu,2012,Table 1,Arboreal,Rhacophoridae,Rhacophorus moltrechti,Zhangixalus moltrechti,Rhacophorus_moltrechti,wild,mass change,yes,6,21.99736499,,0.18183978,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,3.9,0.565685425,0.2,8,3.9,0.565685425,mg cm h,2.5,0.848528137,0.3,,,,,,,,2.5,,,no,,,,,
21,Liu,2012,Table 1,Arboreal,Rhacophoridae,Rhacophorus arvalis,Zhangixalus arvalis,Rhacophorus_arvalis,wild,mass change,yes,5.1,19.7134995,,0.172470474,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,4.7,0.141421356,0.1,2,4.7,0.141421356,mg cm h,3,0.056568542,0.04,,,,,,,,3,,,no,,,,,
21,Liu,2012,Table 1,Arboreal,Rhacophoridae,Rhacophorus prasinatus,Zhangixalus prasinatus,Rhacophorus_prasinatus,wild,mass change,yes,11.5,34.11523253,,0.224728323,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,3.1,0.173205081,0.1,3,3.1,0.173205081,mg cm h,2,0.069282032,0.04,,,,,,,,2,,,no,,,,,
21,Liu,2012,Table 1,Arboreal,Rhacophoridae,Polypedates megacephalus,Polypedates megacephalus,Polypedates_megacephalus,wild,mass change,yes,8.6,28.04315342,,0.204446608,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,2.8,0.565685425,0.2,8,2.8,0.565685425,mg cm h,2.5,0.565685425,0.2,,,,,,,,2.5,,,no,,,,,
21,Liu,2012,Table 1,Arboreal,Rhacophoridae,Kurixalus eiffingeri,Kurixalus eiffingeri,Kurixalus_eiffingeri,wild,mass change,yes,3.3,14.6975618,,0.149684542,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,2.8,0.6,0.2,9,2.8,0.6,mg cm h,3.3,1.2,0.4,,,,,,,,3.3,,,no,,,,,
21,Liu,2012,Table 1,Stream-dwelling,Rhacophoridae,Buergeria robusta,Buergeria robusta,Buergeria_robusta,wild,mass change,yes,11.7,34.51429496,,0.225993091,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,5.6,1.13137085,0.4,8,5.6,1.13137085,mg cm h,1.2,0.282842712,0.1,,,,,,,,1.2,,,no,,,,,
21,Liu,2012,Table 1,Stream-dwelling,Rhacophoridae,Buergeria japonica,Buergeria japonica,Buergeria_japonica,wild,mass change,yes,1.7,9.396052614,,0.120617907,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,10.8,1.469693846,0.6,6,10.8,1.469693846,mg cm h,0.2,0.09797959,0.04,,,,,,,,0.2,,,no,,,,,
21,Liu,2012,Table 1,Ground-dwelling,Bufonidae,Duttaphrynus melanostictus,Duttaphrynus melanostictus,Duttaphrynus_melanostictus,wild,mass change,yes,12.9,29.97053068,,0.286948252,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,9.8,1.13137085,0.4,8,9.8,1.13137085,mg cm h,0.2,0.282842712,0.1,,,,,,,,0.2,,,no,,,,,
21,Liu,2012,Table 1,Semi-aquatic,Ranidae,Rana longicrus,Rana longicrus,Rana_longicrus,wild,mass change,yes,10.2,36.16160898,,0.188044542,23.16880429,120.356693,,19.24999977,21,32.66667,0.6,75,2.544894922,1.908671191,0.63622373,240,,,,,water loss,evaporative water loss,mg cm h,13.1,1.959591794,0.8,6,13.1,1.959591794,mg cm h,0.1,0.244948974,0.1,,,,,,,,0.1,,,no,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,1.658411765,13.12175928,,0.084257508,-31.883347,116.313333,,14.74999986,16,,0,0.01658,1.850832783,0.000306868,1.850525915,203.0588235,,,,,water loss,evaporative water loss,mg cm h,5.740374358,0.937159021,,16,5.740374358,0.937159021,mg cm h,,,,1.47118E-05,1.38977E-05,9.224870717,1.89365E-09,1.004840002,1.220818198,9.355064541,-0.130193825,646.4458548,0.123125203,yes,RH assumed from Drierite efficiency,Geographic variation in adult and embryonic desiccation tolerance in a terrestrial-breeding frog,https://onlinelibrary.wiley.com/doi/full/10.1111/evo.13973?casa_token=JDTyAkXFR-sAAAAA%3AS2MCxnLZXsvnj3ZdxgsRHpe1zG6Zp5hQN8BUGZ-MYrulYfxIweMuX3EhYN26akFH_nptOjZdczocK09Zaw,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.040368421,14.71160257,,0.092460644,-32.283722,116.523361,,14.74999986,16,,0,0.01658,1.850832783,0.000306868,1.850525915,299.6315789,,,,,water loss,evaporative water loss,mg cm h,4.314578888,0.894704171,,18,4.314578888,0.894704171,mg cm h,,,,1.47118E-05,1.38977E-05,12.27332092,1.89365E-09,1.004840002,1.220818198,8.52508038,3.748240539,646.4458548,0.123125203,yes,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.656555556,17.06633038,,0.103773642,-32.473861,116.974417,,14.74999986,16,,0,0.01658,1.850832783,0.000306868,1.850525915,374.3333333,,,,,water loss,evaporative water loss,mg cm h,3.769305013,0.415243037,,17,3.769305013,0.415243037,mg cm h,,,,1.47118E-05,1.38977E-05,14.04879975,1.89365E-09,1.004840002,1.220818198,7.595709344,6.453090403,646.4458548,0.123125203,yes,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.142214286,15.12232438,,0.09443928,-32.8215,117.883611,,14.74999986,16,,0,0.01658,1.850832783,0.000306868,1.850525915,306.5714286,,,,,water loss,evaporative water loss,mg cm h,4.189568187,0.460231647,,13,4.189568187,0.460231647,mg cm h,,,,1.47118E-05,1.38977E-05,12.6395392,1.89365E-09,1.004840002,1.220818198,8.346467952,4.293071245,646.4458548,0.123125203,yes,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.5342,16.61145799,,0.101704798,-28.041889,114.66,,14.74999986,16,,0,0.01658,1.850832783,0.000306868,1.850525915,364.8,,,,,water loss,evaporative water loss,mg cm h,3.927909139,0.969483159,,10,3.927909139,0.969483159,mg cm h,,,,1.47118E-05,1.38977E-05,13.48152654,1.89365E-09,1.004840002,1.220818198,7.750218692,5.731307852,646.4458548,0.123125203,yes,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,1.658411765,,,,-31.883347,116.313333,,14.74999986,16,,,,,,,,85,,,,water gain,water uptake,mg cm h,35.02526005,14.45764042,,16,35.02526005,14.45764042,mg cm h,,,,,,,,,,,,,,,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.040368421,,,,-32.283722,116.523361,,14.74999986,16,,,,,,,,85,,,,water gain,water uptake,mg cm h,30.94850619,15.44028081,,18,30.94850619,15.44028081,mg cm h,,,,,,,,,,,,,,,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.656555556,,,,-32.473861,116.974417,,14.74999986,16,,,,,,,,85,,,,water gain,water uptake,mg cm h,26.81819344,9.517395358,,17,26.81819344,9.517395358,mg cm h,,,,,,,,,,,,,,,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.142214286,,,,-32.8215,117.883611,,14.74999986,16,,,,,,,,85,,,,water gain,water uptake,mg cm h,28.85574866,10.92013744,,13,28.85574866,10.92013744,mg cm h,,,,,,,,,,,,,,,,,,,
22,Rudin-Bitterli,2020,raw data,Ground-dwelling,Myobatrachidae,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne_guentheri,wild,mass change,yes,2.5342,,,,-28.041889,114.66,,14.74999986,16,,,,,,,,85,,,,water gain,water uptake,mg cm h,28.03763616,8.040978623,,10,28.03763616,8.040978623,mg cm h,,,,,,,,,,,,,,,,,,,
23,Tingley,2012,Fig 2,Ground-dwelling,Bufonidae,Rhinella marina,Rhinella marina,Rhinella_marina,wild,mass change,no,,,,,-23.509041,143.448515,,26.44999955,29,,,,4.144130056,0,4.144130056,,,,,,water loss,evaporative water loss,mg cm h,1.590681,0.3462494,0.08161178,18,1.590681,0.3462494,mg cm h,,,,,,,0,1.00484,1.16829251,#DIV/0!,,518.9087481,0.137425568,yes,semi-arid,Hydric balance and locomotor performance of an anuran (Rhinella marina) invading the Australian arid zone,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2012.20422.x?casa_token=FjcRaY4QM4IAAAAA%3AySskuhLH5cceHvQ8-KJ1Nlhw1rxse235ne0ZM10ugX-NX9j55nR_eDiCKfClOl36eJ-h_qwwKbqapvuv_g,,
23,Tingley,2012,Fig 2,Ground-dwelling,Bufonidae,Rhinella marina,Rhinella marina,Rhinella_marina,wild,mass change,no,,,,,-12.5892096,131.361997,,26.44999955,29,,,,4.144130056,0,4.144130056,,,,,,water loss,evaporative water loss,mg cm h,1.311122,0.2253011,0.05310398,18,1.311122,0.2253011,mg cm h,,,,,,,0,1.00484,1.16829251,#DIV/0!,,518.9087481,0.137425568,yes,mesic,,,,
23,Tingley,2012,Fig 2,Ground-dwelling,Bufonidae,Rhinella marina,Rhinella marina,Rhinella_marina,wild,mass change,no,71.12152094,95.23096438,,,-23.509041,143.448515,,26.44999955,29,,,,,,,,80,,,,water gain,water uptake,g 100 g h,18.515,6.031157,1.4215574,18,138.2759241,45.0426037,mg cm h,,,,,,,,,,,,,,,semi-arid,,,,
23,Tingley,2012,Fig 2,Ground-dwelling,Bufonidae,Rhinella marina,Rhinella marina,Rhinella_marina,wild,mass change,no,71.12152094,95.23096438,,,-12.5892096,131.361997,,26.44999955,29,,,,,,,,80,,,,water gain,water uptake,g 100 g h,15.335,3.962472,0.9339637,18,114.5266701,29.59300446,mg cm h,,,,,,,,,,,,,,,mesic,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana cultripes,Litoria cultripes,Cyclorana_cultripes,wild,water vapour,yes,7.3,20.3,,0.239737034,-15.570278,133.206389,,22.84999967,25,6.33333,0.248194712,1,3.258157936,0.032581579,3.225576356,,,,,,water loss,evaporative water loss,mg cm h,8.9,1.992234926,0.63,10,8.9,1.992234926,mg cm h,4.4,1.39140217,0.44,,,,,,,,4.4,,,no,,Cocoon and Epidermis of Australian Cyclorana Frogs Differ in Composition of Lipid Classes That Affect Water Loss,https://www.journals.uchicago.edu/doi/full/10.1086/663695?casa_token=quccYkarAGkAAAAA%3AOgKDcT6AcUWqrOeOol38hfmLMdV07d7gihRVvGgqzTCISSvf1_XLyTEw3ndgl0BffhD9Gtq_pe6frQ,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana longipes,Litoria longipes,Cyclorana_longipes,wild,water vapour,yes,9.9,24.3,,0.271604667,-15.939722,133.435278,,22.84999967,25,6.33333,0.248194712,1,3.258157936,0.032581579,3.225576356,,,,,,water loss,evaporative water loss,mg cm h,9.3,0.467653718,0.27,3,9.3,0.467653718,mg cm h,3.2,0.90066642,0.52,,,,,,,,3.2,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana maculosa,Litoria maculosa,Cyclorana_maculosa,wild,water vapour,yes,10.1,24.5,,0.274829657,-16.253333,133.369167,,22.84999967,25,6.33333,0.248194712,1,3.258157936,0.032581579,3.225576356,,,,,,water loss,evaporative water loss,mg cm h,8.7,1.164130577,0.44,7,8.7,1.164130577,mg cm h,3.7,0.661437828,0.25,,,,,,,,3.7,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana platycephala,Litoria platycephala,Cyclorana_platycephala,wild,water vapour,yes,28.5,42.5,,0.447058376,-16.715556,133.419444,,22.84999967,25,6.33333,0.248194712,1,3.258157936,0.032581579,3.225576356,,,,,,water loss,evaporative water loss,mg cm h,6.9,0.78,0.26,9,6.9,0.78,mg cm h,2.9,0.99,0.33,,,,,,,,2.9,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana australis,Litoria australis,Cyclorana_australis,wild,water vapour,yes,40.3,52.7,,0.509803412,-17.257778,133.454167,,22.84999967,25,6.33333,0.248194712,1,3.258157936,0.032581579,3.225576356,,,,,,water loss,evaporative water loss,mg cm h,6.3,0.367695526,0.13,8,6.3,0.367695526,mg cm h,2.3,0.989949494,0.35,,,,,,,,2.3,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana cultripes,Litoria cultripes,Cyclorana_cultripes,wild,water vapour,yes,5.7,17.4,,0.218390586,-15.570278,133.206389,,22.84999967,25,6.33333,0.248194712,99,3.258157936,3.225576356,0.032581579,,,cocoon,cocoon,60,water loss,evaporative water loss,mg cm h,1.2,1.233288287,0.39,10,1.2,1.233288287,mg cm h,95.6,51.95622196,16.43,,,,,,,,95.6,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana longipes,Litoria longipes,Cyclorana_longipes,wild,water vapour,yes,6.9,19.5,,0.2358972,-15.939722,133.435278,,22.84999967,25,6.33333,0.248194712,99,3.258157936,3.225576356,0.032581579,,,cocoon,cocoon,60,water loss,evaporative water loss,mg cm h,2,0.883345912,0.51,3,2,0.883345912,mg cm h,39.9,19.78002022,11.42,,,,,,,,39.9,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana maculosa,Litoria maculosa,Cyclorana_maculosa,wild,water vapour,yes,7.7,20.8,,0.246794625,-16.253333,133.369167,,22.84999967,25,6.33333,0.248194712,99,3.258157936,3.225576356,0.032581579,,,cocoon,cocoon,60,water loss,evaporative water loss,mg cm h,0.8,0.608522802,0.23,7,0.8,0.608522802,mg cm h,115.3,42.43785103,16.04,,,,,,,,115.3,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana platycephala,Litoria platycephala,Cyclorana_platycephala,wild,water vapour,yes,31,44.4,,0.465465,-16.715556,133.419444,,22.84999967,25,6.33333,0.248194712,99,3.258157936,3.225576356,0.032581579,,,cocoon,cocoon,60,water loss,evaporative water loss,mg cm h,0.8,0.36,0.12,9,0.8,0.36,mg cm h,118.9,58.95,19.65,,,,,,,,118.9,,,no,,,,,
24,Sadowski-Fugitt,2012,Table 1,Fossorial,Hylidae,Cyclorana australis,Litoria australis,Cyclorana_australis,wild,water vapour,yes,39.9,52.1,,0.510556111,-17.257778,133.454167,,22.84999967,25,6.33333,0.248194712,99,3.258157936,3.225576356,0.032581579,,,cocoon,cocoon,60,water loss,evaporative water loss,mg cm h,1,0.45254834,0.16,8,1,0.45254834,mg cm h,72.5,21.01521354,7.43,,,,,,,,72.5,,,no,,,,,
25,Wygoda,2011,text,Ground-dwelling,Dicroglossidae,Fejervarya cancrivora,Fejervarya cancrivora,Fejervarya_cancrivora,wild,water vapour,yes,2.35,11.68941872,,0.134024209,-5.466919,123.759222,27,26.33299956,28.87,,100,82.12,4.112272529,3.376998201,0.735274328,20,,,,,water loss,evaporative water loss,mg cm h,15.62,7.203749024,1.86,15,15.62,7.203749024,mg cm h,0.27,0.232379001,0.06,,,,,,,,0.27,,,no,,Cutaneous Resistance to Evaporative Water Loss in the Crab-eating Frog (Fejervarya cancrivora),https://bioone.org/journals/journal-of-herpetology/volume-45/issue-4/10-248.1/Cutaneous-Resistance-to-Evaporative-Water-Loss-in-the-Crab-eating/10.1670/10-248.1.full,,
26,Tizalema,2019,text,Ground-dwelling,Craugastoridae,Pristimantis curtipes,Pristimantis curtipes,Pristimantis_curtipes,wild,mass change,yes,2.44,14.73936263,,0.110361966,6.413083972,-73.17285294,,18.34999979,20,1.700000003,0.25,1,2.389938612,0.023899386,2.366039226,120,,,,,water loss,evaporative water loss,mg cm h,10.908,,,10,10.908,,mg cm h,0.93,,,,,,,,,,0.93,,,no,Thesis,"Tasas de pérdida de agua por evapotranspiración y resistencia cutánea en dos poblaciones de Pristimantis curtipes (Boulenger, 1882) con distintas altitudes",http://www.dspace.uce.edu.ec/handle/25000/19896,,
26,Tizalema,2019,text,Ground-dwelling,Craugastoridae,Pristimantis curtipes,Pristimantis curtipes,Pristimantis_curtipes,wild,mass change,yes,1.765,11.03565786,,0.106623955,-0.211570606,-78.07765842,,18.34999979,20,1.700000003,0.25,1,2.389938612,0.023899386,2.366039226,120,,,,,water loss,evaporative water loss,mg cm h,10.44,,,11,10.44,,mg cm h,1.77,,,,,,,,,,1.77,,,no,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Dendropsophus branneri,Dendropsophus branneri,Dendropsophus_branneri,wild,mass change,no,0.31,2.463060258,,0.083906376,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.45,0.11,,10,27,6.6,mg cm h,,,,2.92314E-05,2.66019E-05,3.862050955,2.26934E-07,1.004840191,1.176077235,2.721622411,1.140428544,,,yes,based on silica gel efficiency,Water Balance and Spatial Distribution of an Anuran Community from Brazil,https://bioone.org/journals/herpetologica/volume-68/issue-4/HERPETOLOGICA-D-10-00058/Water-Balance-and-Spatial-Distribution-of-an-Anuran-Community-from/10.1655/HERPETOLOGICA-D-10-00058.full,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Dendropsophus decipiens,Dendropsophus decipiens,Dendropsophus_decipiens,wild,mass change,no,0.27,2.213434313,,0.08132151,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.3,0.07,,10,18,4.2,mg cm h,,,,2.92314E-05,2.66019E-05,5.793076432,2.26934E-07,1.004840191,1.176077235,2.665491149,3.127585283,,,yes,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Dendropsophus minutus,Dendropsophus minutus,Dendropsophus_minutus,wild,mass change,no,0.76,4.928514973,,0.102803007,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.22,0.07,,10,13.2,4.2,mg cm h,,,,2.92314E-05,2.66019E-05,7.89964968,2.26934E-07,1.004840191,1.176077235,3.115848276,4.783801404,,,yes,,,,,
27,Dabes,2012,Table 2,Arboreal,Craugastoridae,Ischnocnema paulodutrai,Pristimantis paulodutrai,Pristimantis_paulodutrai,wild,mass change,no,0.86,5.804635734,,0.098771531,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.27,0.07,,10,16.2,4.2,mg cm h,,,,2.92314E-05,2.66019E-05,6.436751591,2.26934E-07,1.004840191,1.176077235,3.033927487,3.402824104,,,yes,,,,,
27,Dabes,2012,Table 2,Ground-dwelling,Leptodactylidae,Leptodactylus natalensis,Leptodactylus natalensis,Leptodactylus_natalensis,wild,mass change,no,5.56,18.12724827,,0.204480178,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.12,0.01,,8,7.2,0.6,mg cm h,,,,2.92314E-05,2.66019E-05,14.48269108,2.26934E-07,1.004840191,1.176077235,4.925770076,9.556921004,,,yes,,,,,
27,Dabes,2012,Table 2,Semi-aquatic,Leptodactylidae,Leptodactylus macrosternum,Leptodactylus latrans,Leptodactylus_latrans,wild,mass change,no,36.92,63.86319018,,0.385406815,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.07,0.01,,10,4.2,0.6,mg cm h,,,,2.92314E-05,2.66019E-05,24.82747042,2.26934E-07,1.004840191,1.176077235,7.512815788,17.31465463,,,yes,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Phyllodytes melanomystax,Phyllodytes melanomystax,Phyllodytes_melanomystax,wild,mass change,no,1,6.094060573,,0.109396025,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.31,0.08,,10,18.6,4.8,mg cm h,,,,2.92314E-05,2.66019E-05,5.606202999,2.26934E-07,1.004840191,1.176077235,3.247547054,2.358655945,,,yes,,,,,
27,Dabes,2012,Table 2,Ground-dwelling,Bufonidae,Rhinella jimi,Rhinella jimi,Rhinella_jimi,wild,mass change,no,341.54,275.5812813,,0.826228489,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.02,0,,10,1.2,0,mg cm h,,,,2.92314E-05,2.66019E-05,86.89614648,2.26934E-07,1.004840191,1.176077235,12.48444203,74.41170446,,,yes,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Scinax auratus,Scinax auratus,Scinax_auratus,wild,mass change,no,0.78,5.028540379,,0.103409626,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.14,0.02,,10,8.4,1.2,mg cm h,,,,2.92314E-05,2.66019E-05,12.41373521,2.26934E-07,1.004840191,1.176077235,3.128081293,9.285653919,,,yes,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Scinax eurydice,Scinax eurydice,Scinax_eurydice,wild,mass change,no,2.07,10.69817823,,0.128993796,-12.55,-38.016667,,24.64999961,27,1.833333337,0.05881261,1,3.677483938,0.036774839,3.640709099,420,,,,,water loss,evaporative water loss,mg cm min,0.07,0.01,,8,4.2,0.6,mg cm h,,,,2.92314E-05,2.66019E-05,24.82747042,2.26934E-07,1.004840191,1.176077235,3.624259308,21.20321112,,,yes,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Dendropsophus branneri,Dendropsophus branneri,Dendropsophus_branneri,wild,mass change,no,0.31,,,,-12.55,-38.016667,,24.64999961,27,,,,,,,,80,,,,water gain,water uptake,mg cm min,3.97,1.91,,10,238.2,114.6,mg cm h,,,,,,,,,,,,,,,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Dendropsophus decipiens,Dendropsophus decipiens,Dendropsophus_decipiens,wild,mass change,no,0.27,,,,-12.55,-38.016667,,24.64999961,27,,,,,,,,80,,,,water gain,water uptake,mg cm min,2.59,1.93,,10,155.4,115.8,mg cm h,,,,,,,,,,,,,,,,,,,
27,Dabes,2012,Table 2,Arboreal,Hylidae,Dendropsophus minutus,Dendropsophus minutus,Dendropsophus_minutus,wild,mass change,no,0.76,,,,-12.55,-38.016667,,24.64999961,27,,,,,,,,80,,,,water gain,water uptake,mg cm min,1.78,0.69,,10,106.8,41.4,mg cm h,,,,,,,,,,,,,,,,,,,
27,Dabes,2012,Table 2,Arboreal,Craugastoridae,Ischnocnema paulodutrai,Pristimantis paulodutrai,Pristimantis_paulodutrai,wild,mass change,no,0.86,,,,-12.55,-38.016667,,24.64999961,27,,,,,,,,80,,,,water gain,water uptake,mg cm min,1.94,0.83,,10,116.4,49.8,mg cm h,,,,,,,,,,,,,,,,,,,
27,Dabes,2012,Table 2,Ground-dwelling,Leptodactylidae,Leptodactylus natalensis,Leptodactylus natalensis,Leptodactylus_natalensis,wild,mass change,no,5.56,,,,-12.55,-38.016667,,24.64999961,27,,,,,,,,80,,,,water gain,water uptake,mg cm min,2.21,0.62,,8,132.6,37.2,mg cm h,,,,,,,,,,,,,,,,,,,
